text,label,intent
"I hate this service, terrible experience, worst company ever\!",complaint,complaint
"Great customer support, very helpful and quick response.",praise,praise
Can you tell me about my billing? I need to understand my charges.,inquiry,inquiry
I want to cancel my subscription immediately.,request,request
"The product is okay, nothing special but does the job.",feedback,feedback
"Your service has been outstanding, I recommend it to everyone\!",complaint,complaint
"I have been waiting for 3 hours, this is unacceptable\!",praise,praise
How do I change my plan? I need more data.,inquiry,inquiry
The technician was professional and fixed the issue quickly.,request,request
I am filing a formal complaint about the outage last week.,feedback,feedback
"I hate this service, terrible experience, worst company ever\!",complaint,complaint
"Great customer support, very helpful and quick response.",praise,praise
Can you tell me about my billing? I need to understand my charges.,inquiry,inquiry
I want to cancel my subscription immediately.,request,request
"The product is okay, nothing special but does the job.",feedback,feedback
"Your service has been outstanding, I recommend it to everyone\!",complaint,complaint
"I have been waiting for 3 hours, this is unacceptable\!",praise,praise
How do I change my plan? I need more data.,inquiry,inquiry
The technician was professional and fixed the issue quickly.,request,request
I am filing a formal complaint about the outage last week.,feedback,feedback
"I hate this service, terrible experience, worst company ever\!",complaint,complaint
"Great customer support, very helpful and quick response.",praise,praise
Can you tell me about my billing? I need to understand my charges.,inquiry,inquiry
I want to cancel my subscription immediately.,request,request
"The product is okay, nothing special but does the job.",feedback,feedback
"Your service has been outstanding, I recommend it to everyone\!",complaint,complaint
"I have been waiting for 3 hours, this is unacceptable\!",praise,praise
How do I change my plan? I need more data.,inquiry,inquiry
The technician was professional and fixed the issue quickly.,request,request
I am filing a formal complaint about the outage last week.,feedback,feedback
"I hate this service, terrible experience, worst company ever\!",complaint,complaint
"Great customer support, very helpful and quick response.",praise,praise
Can you tell me about my billing? I need to understand my charges.,inquiry,inquiry
I want to cancel my subscription immediately.,request,request
"The product is okay, nothing special but does the job.",feedback,feedback
"Your service has been outstanding, I recommend it to everyone\!",complaint,complaint
"I have been waiting for 3 hours, this is unacceptable\!",praise,praise
How do I change my plan? I need more data.,inquiry,inquiry
The technician was professional and fixed the issue quickly.,request,request
I am filing a formal complaint about the outage last week.,feedback,feedback
"I hate this service, terrible experience, worst company ever\!",complaint,complaint
"Great customer support, very helpful and quick response.",praise,praise
Can you tell me about my billing? I need to understand my charges.,inquiry,inquiry
I want to cancel my subscription immediately.,request,request
"The product is okay, nothing special but does the job.",feedback,feedback
"Your service has been outstanding, I recommend it to everyone\!",complaint,complaint
"I have been waiting for 3 hours, this is unacceptable\!",praise,praise
How do I change my plan? I need more data.,inquiry,inquiry
The technician was professional and fixed the issue quickly.,request,request
I am filing a formal complaint about the outage last week.,feedback,feedback
"I hate this service, terrible experience, worst company ever\!",complaint,complaint
"Great customer support, very helpful and quick response.",praise,praise
Can you tell me about my billing? I need to understand my charges.,inquiry,inquiry
I want to cancel my subscription immediately.,request,request
"The product is okay, nothing special but does the job.",feedback,feedback
"Your service has been outstanding, I recommend it to everyone\!",complaint,complaint
"I have been waiting for 3 hours, this is unacceptable\!",praise,praise
How do I change my plan? I need more data.,inquiry,inquiry
The technician was professional and fixed the issue quickly.,request,request
I am filing a formal complaint about the outage last week.,feedback,feedback
"I hate this service, terrible experience, worst company ever\!",complaint,complaint
"Great customer support, very helpful and quick response.",praise,praise
Can you tell me about my billing? I need to understand my charges.,inquiry,inquiry
I want to cancel my subscription immediately.,request,request
"The product is okay, nothing special but does the job.",feedback,feedback
"Your service has been outstanding, I recommend it to everyone\!",complaint,complaint
"I have been waiting for 3 hours, this is unacceptable\!",praise,praise
How do I change my plan? I need more data.,inquiry,inquiry
The technician was professional and fixed the issue quickly.,request,request
I am filing a formal complaint about the outage last week.,feedback,feedback
"I hate this service, terrible experience, worst company ever\!",complaint,complaint
"Great customer support, very helpful and quick response.",praise,praise
Can you tell me about my billing? I need to understand my charges.,inquiry,inquiry
I want to cancel my subscription immediately.,request,request
"The product is okay, nothing special but does the job.",feedback,feedback
"Your service has been outstanding, I recommend it to everyone\!",complaint,complaint
"I have been waiting for 3 hours, this is unacceptable\!",praise,praise
How do I change my plan? I need more data.,inquiry,inquiry
The technician was professional and fixed the issue quickly.,request,request
I am filing a formal complaint about the outage last week.,feedback,feedback
"I hate this service, terrible experience, worst company ever\!",complaint,complaint
"Great customer support, very helpful and quick response.",praise,praise
Can you tell me about my billing? I need to understand my charges.,inquiry,inquiry
I want to cancel my subscription immediately.,request,request
"The product is okay, nothing special but does the job.",feedback,feedback
"Your service has been outstanding, I recommend it to everyone\!",complaint,complaint
"I have been waiting for 3 hours, this is unacceptable\!",praise,praise
How do I change my plan? I need more data.,inquiry,inquiry
The technician was professional and fixed the issue quickly.,request,request
I am filing a formal complaint about the outage last week.,feedback,feedback
"I hate this service, terrible experience, worst company ever\!",complaint,complaint
"Great customer support, very helpful and quick response.",praise,praise
Can you tell me about my billing? I need to understand my charges.,inquiry,inquiry
I want to cancel my subscription immediately.,request,request
"The product is okay, nothing special but does the job.",feedback,feedback
"Your service has been outstanding, I recommend it to everyone\!",complaint,complaint
"I have been waiting for 3 hours, this is unacceptable\!",praise,praise
How do I change my plan? I need more data.,inquiry,inquiry
The technician was professional and fixed the issue quickly.,request,request
I am filing a formal complaint about the outage last week.,feedback,feedback
